Date,TargetDate,Close,target_log_ret,target_simple_ret,pred_log_ret,ridge_position,turnover,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,macd_line,macd_signal,macd_histogram,macd_position,actual_up,ridge_forecast_up,macd_forecast_up,macd_score
2025-12-23,2025-12-24,1772.15,0.0060028816224804,0.0060209350224302,0.001385089078221,1.0,0.0,0.0,0.0060209350224302,0.0060209350224302,1.3855100417424269,1.640974190935534,0.0,0.0,13.363670575773996,8.986350305382244,4.377320270391751,1.0,True,True,True,0.002470061941930283
2025-12-24,2025-12-25,1782.82,-0.0226746760207747,-0.0224195375865202,8.333696414035497e-05,0.0,1.0,0.0005,-0.0005,-0.0224195375865202,1.3848172867215558,1.6041843083833451,-0.0004999999999999,-0.0224195375865202,18.14723453151214,10.818527150608224,7.328707380903916,1.0,False,True,True,0.004110738818783678
2025-12-25,2025-12-26,1742.85,-0.0075159094245691,-0.0074877356054737,-0.0037807820966281,0.0,0.0,0.0,-0.0,-0.0074877356054737,1.3848172867215558,1.5921726004197208,-0.0004999999999999,-0.0297394016221492,18.49974492952333,12.354770706391246,6.144974223132085,1.0,False,False,True,0.0035258193322041972
2025-12-26,2025-12-29,1729.8,0.0143718897803237,0.0144756619262342,0.0010769483213663,1.0,1.0,0.0005,0.0139756619262342,0.0144756619262342,1.4041710249503814,1.61522035271161,0.0,-0.0156942372196856,17.524079344723077,13.388632434057612,4.135446910665465,1.0,True,True,True,0.002390708122710987
2025-12-29,2025-12-30,1754.84,0.0068489139698693,0.0068724214173372,0.0045517160498491,1.0,0.0,0.0,0.0068724214173372,0.0068724214173372,1.4138210799758548,1.6263208276573042,0.0,-0.0089296732143457,18.55745725583688,14.422397398413466,4.135059857423414,1.0,True,True,True,0.002356374289065336
2025-12-30,2025-12-31,1766.9,0.0099060614813177,0.0099552889241043,0.0010446284097921,1.0,0.0,0.0,0.0099552889241043,0.0099552889241043,1.4278960773140037,1.6425113213799212,0.0,0.0,20.117654112056243,15.561448741142025,4.5562053709142205,1.0,True,True,True,0.002578643596646228
2025-12-31,2026-01-05,1784.49,0.0021887052559037,0.0021911022196818,0.001557965227253,1.0,0.0,0.0,0.0021911022196818,0.0021911022196818,1.4310247435784815,1.6461102315820493,0.0,0.0,22.51396043402815,16.951951079719247,5.562009354308902,1.0,True,True,True,0.0031168621591092702
2026-01-05,2026-01-06,1788.4,0.0154635821639699,0.015583762021919,-0.0001800326371384,0.0,1.0,0.0005,-0.0005,0.015583762021919,1.4303092312066925,1.67176282169287,-0.0004999999999999,0.0,24.44674788931616,18.45091044163863,5.995837447677527,1.0,True,False,True,0.00335262662026254
2026-01-06,2026-01-07,1816.27,0.0246406419600777,0.0249467314881597,0.0053796126613294,1.0,1.0,0.0005,0.0244467314881597,0.0249467314881597,1.4652756169270384,1.7134678399175305,0.0,0.0,27.905692500846044,20.341866853480116,7.563825647365931,1.0,True,True,True,0.00416448305998884
2026-01-07,2026-01-08,1861.58,-0.0032390522085341,-0.0032338121380762,0.0088762955932056,1.0,0.0,0.0,-0.0032338121380762,-0.0032338121380762,1.4605371908513929,1.7079268068186015,-0.0032338121380762,-0.0032338121380762,33.91215118508353,23.055923719800795,10.856227465282736,1.0,False,True,True,0.0058317275998252755
2026-01-08,2026-01-09,1855.56,0.0066282678899183,0.0066502834723749,0.0010875869098669,1.0,0.0,0.0,0.0066502834723749,0.0066502834723749,1.4702501771925007,1.719285004234013,0.0,0.0,37.75137492703516,25.99501396124767,11.75636096578749,1.0,True,True,True,0.0063357482192909365
2026-01-09,2026-01-12,1867.9,0.0050357494347528,0.0050484501311631,0.0019725089254879,1.0,0.0,0.0,0.0050484501311631,0.0050484501311631,1.477672661892391,1.727964728839145,0.0,0.0,41.31348612170336,29.058708393338808,12.254777728364555,1.0,True,True,True,0.006560724732782566
2026-01-12,2026-01-13,1877.33,0.0135442489943669,0.0136363878487,0.0022422550111177,1.0,0.0,0.0,0.0136363878487,0.0136363878487,1.4978227794233767,1.7515279260704697,0.0,0.0,44.38575573437265,32.12411786154558,12.261637872827071,1.0,True,True,True,0.006531423816178866
2026-01-13,2026-01-14,1902.93,-0.0044715232627412,-0.004461540886948,0.0065189870699294,1.0,0.0,0.0,-0.004461540886948,-0.004461540886948,1.491140181851577,1.743713412613675,-0.0044615408869481,-0.0044615408869479,48.32914924020315,35.36512413727709,12.964025102926058,1.0,False,True,True,0.006812665259849841
2026-01-14,2026-01-15,1894.44,-0.0157694716100884,-0.0156457845062393,0.0003699176393858,0.0,1.0,0.0005,-0.0005,-0.0156457845062393,1.4903946117606512,1.7164316483192823,-0.0049593101165046,-0.0200375210859043,50.19067806397129,38.33023492261594,11.860443141355354,1.0,False,True,True,0.006260659161206137
2026-01-15,2026-01-16,1864.8,0.0076550950357887,0.0076844701844702,-0.0014394881209455,0.0,0.0,0.0,0.0,0.0076844701844702,1.4903946117606512,1.729621516144473,-0.0049593101165046,-0.0125070286347893,48.71272283400072,40.406732504892894,8.305990329107821,1.0,True,False,True,0.004454091768075838
2026-01-16,2026-01-19,1879.13,0.0092486330853294,0.0092915338481105,0.0031023054487683,1.0,1.0,0.0005,0.0087915338481105,0.0092915338481105,1.503497466436987,1.7456923530061497,0.0,-0.0033317042665782,48.14278386084425,41.95394277608317,6.18884108476108,1.0,True,True,True,0.0032934608487763376
2026-01-19,2026-01-20,1896.59,-0.0014827051263051,-0.0014816064621241,0.003477242297292,1.0,0.0,0.0,-0.0014816064621241,-0.0014816064621241,1.5012698748749265,1.743105923935055,-0.001481606462124,-0.0048083744541311,48.54043527662384,43.2712412761913,5.269194000432535,1.0,False,True,True,0.0027782462210770567
2026-01-20,2026-01-21,1893.78,-0.0044136163222043,-0.0044038906314355,-0.0002746025526847,0.0,1.0,0.0005,-0.0005,-0.0044038906314355,1.5005192399374891,1.7354294760870377,-0.0019808656588928,-0.0091910895303557,48.07465863341258,44.23192474763556,3.8427338857770224,1.0,False,False,True,0.002029134263629895
2026-01-21,2026-01-22,1885.44,-0.0014383642283792,-0.0014373302783435,-0.000430168065392,0.0,0.0,0.0,-0.0,-0.0014373302783435,1.5005192399374891,1.7329350907551275,-0.0019808656588928,-0.0106152091774264,46.49657541000306,44.68485488010906,1.811720529894004,1.0,False,False,True,0.0009609006544329196
2026-01-22,2026-01-23,1882.73,-0.006362049635153,-0.006341854647241,0.0016300891049496,1.0,1.0,0.0005,-0.006841854647241,-0.006341854647241,1.4902529054024485,1.7219450682964552,-0.00880916751122,-0.0168897437110142,44.51412758072183,44.650709420231614,-0.1365818395097804,0.0,False,True,False,-7.254457065526145e-05
2026-01-23,2026-01-26,1870.79,-0.0145755317613121,-0.0144698229090384,0.0010034229385511,1.0,0.0,0.0,-0.0144698229090384,-0.0144698229090384,1.468689209771595,1.6970288280991137,-0.023151523326395,-0.0311151750195751,41.50116557680394,44.02080065154608,-2.5196350747421405,0.0,False,True,False,-0.0013468294542637819
2026-01-26,2026-01-27,1843.72,-0.0071961162090206,-0.0071702861605883,-0.0006817048746876,0.0,1.0,0.0005,-0.0005,-0.0071702861605883,1.4679548651667091,1.6848606457788748,-0.0236399475647318,-0.0380623564713364,36.50820485491067,42.518281492219,-6.01007663730833,0.0,False,False,False,-0.0032597556230383844
2026-01-27,2026-01-28,1830.5,-0.0151871274081836,-0.0150723845943731,-0.0004861187425003,0.0,0.0,0.0,-0.0,-0.0150723845943731,1.4679548651667091,1.6594657781377715,-0.0236399475647318,-0.0525610505904055,31.125706228299805,40.239766439435165,-9.11406021113536,0.0,False,False,False,-0.004979000388492412
2026-01-28,2026-01-29,1802.91,0.0066724222023841,0.0066947324048343,-0.0009056576013795,0.0,0.0,0.0,0.0,0.0066947324048343,1.4679548651667091,1.6705754574573843,-0.0236399475647318,-0.0462182003541908,24.353028315960277,37.06241881474018,-12.70939049877991,0.0,True,False,False,-0.0070493760081090625
2026-01-29,2026-01-30,1814.98,0.0077167906714796,0.0077466418362737,0.0008822786014938,1.0,1.0,0.0005,0.0072466418362737,0.0077466418362737,1.4785926083063878,1.683516807186776,-0.0165646159614879,-0.0388295943623782,19.732120796993968,33.59635921119094,-13.864238414196976,0.0,True,True,False,-0.007638783024714859
2026-01-30,2026-02-02,1829.04,-0.0123999674382764,-0.0123234046275642,0.000448627075568,0.0,1.0,0.0005,-0.0005,-0.0123234046275642,1.4778533120022348,1.6627701483745083,-0.0170563336535071,-0.0506744861870905,17.008479626328153,30.27878329421839,-13.270303667890236,0.0,False,True,False,-0.007255338137979616
2026-02-02,2026-02-03,1806.5,0.003812264624261,0.003819540548021,-0.0041203978287581,0.0,0.0,0.0,0.0,0.003819540548021,1.4778533120022348,1.6691211663782637,-0.0170563336535071,-0.0470484988938112,12.88268122052068,26.79956287947885,-13.916881658958168,0.0,True,False,False,-0.0077037817099131845
2026-02-03,2026-02-04,1813.4,-0.01218935263251,-0.0121153634057571,-0.0006972807511192,0.0,0.0,0.0,-0.0,-0.0121153634057571,1.4778533120022348,1.6488991568793498,-0.0170563336535071,-0.0585938526377745,10.053834250494674,23.45041715368201,-13.39658290318734,0.0,False,False,False,-0.007387549852866075
2026-02-04,2026-02-05,1791.43,-0.00496365026844,-0.0049513517134357,-0.0018331823239936,0.0,0.0,0.0,-0.0,-0.0049513517134357,1.4778533120022348,1.6407348772136523,-0.0170563336535071,-0.0632550855785554,5.970334952035273,19.95440071335267,-13.984065761317396,0.0,False,False,False,-0.007806091089976944
2026-02-05,2026-02-06,1782.56,-0.01530251310154,-0.0151860245938425,-0.0015338341913693,0.0,0.0,0.0,-0.0,-0.0151860245938425,1.4778533120022348,1.6158186370163108,-0.0170563336535071,-0.0774805168871163,1.9953957871225607,16.362599728106648,-14.367203940984089,0.0,False,False,False,-0.008059871163374074
2026-02-06,2026-02-09,1755.49,-0.0003817326721211,-0.0003816598214744,-0.0039099855234646,0.0,0.0,0.0,-0.0,-0.0003816598214744,1.4778533120022348,1.615201943963772,-0.0170563336535071,-0.0778326055083479,-3.3010425419358853,12.429871274098142,-15.730913816034027,0.0,False,False,False,-0.008960981729337123
2026-02-09,2026-02-10,1754.82,-0.000450289988656,-0.0004501886233345,-0.0013177080775301,0.0,0.0,0.0,-0.0,-0.0004501886233345,1.4778533120022348,1.6144747984242118,-0.0170563336535071,-0.078247754778158,-7.466502286446712,8.450596561989173,-15.917098848435884,0.0,False,False,False,-0.009070502301339102
2026-02-10,2026-02-11,1754.03,0.024119134296761,0.0244123532664777,-0.0026852297898876,0.0,0.0,0.0,0.0,0.0244123532664777,1.4778533120022348,1.653887927543169,-0.0170563336535071,-0.0557456133436334,-10.70797072118944,4.618883105353451,-15.32685382654289,0.0,True,False,False,-0.008738079637487893
2026-02-11,2026-02-12,1796.85,0.009548832711351,0.0095945682722542,0.0036685651652751,1.0,1.0,0.0005,0.0090945682722542,0.0095945682722542,1.4912937498446162,1.669756268178639,-0.008116885372139,-0.0466859001644833,-9.709714130504151,1.75316365818193,-11.462877788686082,0.0,True,True,False,-0.0063794294396783725
2026-02-12,2026-02-13,1814.09,0.005497267965457,0.0055124056689579,-0.0014259076593637,0.0,1.0,0.0005,-0.0005,0.0055124056689579,1.490548102969694,1.678960642097125,-0.0086128269294529,-0.0414308461162525,-7.441681597853403,-0.0858053930251367,-7.355876204828267,0.0,True,False,False,-0.004054857369164853
2026-02-13,2026-02-23,1824.09,0.0195705211696379,0.0197632792241611,-0.0009880219501632,0.0,0.0,0.0,0.0,0.0197632792241611,1.490548102969694,1.7121424100732674,-0.0086128269294529,-0.0224863762723801,-4.782206746370775,-1.025085663694265,-3.757121082676511,0.0,True,False,False,-0.002059723523881229
2026-02-23,2026-02-24,1860.14,0.0040131392787943,0.0040212027051726,0.0052492683311933,1.0,1.0,0.0005,0.0035212027051726,0.0040212027051726,1.495796624982061,1.7190272817642949,-0.0051219517337633,-0.0185555958443035,0.2317089548921558,-0.7737267399769806,1.0054356948691363,1.0,True,True,True,0.0005405161411878333
2026-02-24,2026-02-25,1867.62,-0.00359927759406,-0.0035928079587923,0.0019348831072426,1.0,0.0,0.0,-0.0035928079587923,-0.0035928079587923,1.4904225149630903,1.712851146864991,-0.0086963575036022,-0.0220817371106663,4.754045086024917,0.3318276252233988,4.422217460801518,1.0,False,True,True,0.0023678357807270845
2026-02-25,2026-02-26,1860.91,0.0100146537492342,0.0100649682144757,-0.0018422715823559,0.0,1.0,0.0005,-0.0005,0.0100649682144757,1.489677303705609,1.7300909392143156,-0.0091920093248503,-0.0122390208783297,7.707738122256615,1.807009724630042,5.9007283976265725,1.0,True,False,True,0.003170883276260847
2026-02-26,2026-02-27,1879.64,0.0003670242091002,0.0003670915707261,0.0038499417031504,1.0,1.0,0.0005,-0.0001329084292738,0.0003670915707261,1.4894793130350483,1.7307260410146907,-0.0093236960586029,-0.011876422149002,11.42817867061808,3.73124351382765,7.696935156790431,1.0,True,True,True,0.004094898574615581
2026-02-27,2026-03-02,1880.33,-0.0183719875584413,-0.0182042513814064,0.0003652939830248,0.0,1.0,0.0005,-0.0005,-0.0182042513814064,1.488734573378531,1.6992194690917128,-0.0098190342105736,-0.0298644721560964,14.267860824797252,5.838566976021571,8.429293848775682,1.0,False,True,True,0.0044828800523183075
