Date,TargetDate,Close,target_log_ret,target_simple_ret,pred_log_ret,position,turnover,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,year,strategy_name,Open,High,Low,Volume,SourceLine,macd_line,macd_signal
2009-08-10,2009-08-11,491.2,0.006088916721576939,0.006107491856677472,,1.0,0.0,0.0,0.006107491856677472,0.006107491856677472,1.7901902925786464,1.5659062103929025,-3.5672813415432714e-06,-0.03570731707317043,2009,MACD 12/26/9,485.9,492.3,483.7,46840640.0,2086.0,11.564393846485359,7.084631333985203
2009-08-11,2009-08-12,494.2,0.006052066082046409,0.006070416835289416,,1.0,0.0,0.0,0.006070416835289416,0.006070416835289416,1.8010574938690875,1.5754119138149558,0.0,-0.02985365853658495,2009,MACD 12/26/9,491.0,494.7,490.5,49879728.0,2087.0,12.661558203573861,8.200016707902934
2009-08-12,2009-08-13,497.2,0.012789942533636073,0.012872083668543866,,1.0,0.0,0.0,0.012872083668543866,0.012872083668543866,1.8242408566220283,1.5956907477820028,0.0,-0.017365853658536046,2009,MACD 12/26/9,498.8,501.6,496.8,63934680.0,2088.0,13.616184885582584,9.283250343438866
2009-08-13,2009-08-14,503.6,0.006728701420990919,0.006751389992057044,,1.0,0.0,0.0,0.006751389992057044,0.006751389992057044,1.8365570180845279,1.6064638783269962,0.0,-0.010731707317072847,2009,MACD 12/26/9,502.0,506.6,502.0,69285928.0,2089.0,14.719482885611228,10.370496851873337
2009-08-14,2009-08-17,507.0,-0.013702925166325156,-0.013609467455621305,,1.0,0.0,0.0,-0.013609467455621305,-0.013609467455621305,1.8115624551165135,1.5846007604562737,-0.013609467455621305,-0.0241951219512192,2009,MACD 12/26/9,503.7,509.3,502.6,56323432.0,2090.0,15.687371827108223,11.433871846920315
2009-08-17,2009-08-18,500.1,-0.0008001600746987071,-0.0007998400319936261,,1.0,0.0,0.0,-0.0007998400319936261,-0.0007998400319936261,1.8101134949444546,1.5833333333333333,-0.014398422090729834,-0.02497560975609725,2009,MACD 12/26/9,505.5,508.5,500.1,4395772.0,2091.0,15.716488555322542,12.290395188600762
2009-08-18,2009-08-19,499.7,0.01745729713845528,0.017610566339803846,,1.0,0.0,0.0,0.017610566339803846,0.017610566339803846,1.8419906187297481,1.6112167300380227,0.0,-0.007804878048780273,2009,MACD 12/26/9,496.8,501.6,495.5,47360260.0,2092.0,15.528286692182007,12.937973489317011
2009-08-19,2009-08-20,508.5,0.010563478509569246,0.010619469026548645,,1.0,0.0,0.0,0.010619469026548645,0.010619469026548645,1.8615515810525418,1.6283269961977185,0.0,0.0,2009,MACD 12/26/9,505.0,508.5,503.4,4554820.0,2093.0,15.905868859895975,13.531552563432804
2009-08-20,2009-08-21,513.9,0.010260471391696386,0.010313290523448204,,1.0,0.0,0.0,0.010313290523448204,0.010313290523448204,1.880750303332321,1.6451204055766793,0.0,0.0,2009,MACD 12/26/9,513.8,515.2,510.4,59584128.0,2094.0,16.45120111255062,14.115482273256369
2009-08-21,2009-08-24,519.2,0.017185834473151678,0.017334360554699613,,1.0,0.0,0.0,0.017334360554699613,0.017334360554699613,1.913351907203644,1.6736375158428392,0.0,0.0,2009,MACD 12/26/9,522.1,530.5,519.2,8331504.0,2095.0,17.113769673889124,14.715139753382921
2009-08-24,2009-08-25,528.2,0.0013243782089023372,0.0013252555850056247,,1.0,0.0,0.0,0.0013252555850056247,0.0013252555850056247,1.9158875875047467,1.6758555133079849,0.0,0.0,2009,MACD 12/26/9,522.1,528.8,522.1,56972712.0,2096.0,18.15579610030659,15.403271022767655
2009-08-25,2009-08-26,528.9,-0.005498165334224316,-0.0054830780865947615,,1.0,0.0,0.0,-0.0054830780865947615,-0.0054830780865947615,1.9053826262573206,1.6666666666666667,-0.0054830780865947615,-0.0054830780865948725,2009,MACD 12/26/9,532.0,532.9,527.1,61889640.0,2097.0,18.821135367724196,16.086843891758964
2009-08-26,2009-08-27,526.0,0.0018993358036525374,0.0019011406844107182,,1.0,0.0,0.0,0.0019011406844107182,0.0019011406844107182,1.9090050266874676,1.669835234474018,-0.0035923615050102997,-0.0035923615050102997,2009,MACD 12/26/9,530.0,532.7,526.0,51786960.0,2098.0,18.896587667065887,16.648792646820347
2009-08-27,2009-08-28,527.0,0.01786601352939087,0.018026565464895672,,1.0,0.0,0.0,0.018026565464895672,0.018026565464895672,1.943417830773864,1.6999366286438533,0.0,0.0,2009,MACD 12/26/9,527.1,529.7,523.2,48938392.0,2099.0,18.820129067780158,17.083059931012308
2009-08-28,2009-08-31,536.5,0.019016542779041305,0.01919850885368124,,1.0,0.0,0.0,0.01919850885368124,0.01919850885368124,1.980728555204378,1.7325728770595694,0.0,0.0,2009,MACD 12/26/9,533.6,536.5,530.7,55848928.0,2100.0,19.303585959305337,17.527165136670913
2009-08-31,2009-09-01,546.8,0.001644586939881264,0.001645940014630698,,1.0,0.0,0.0,0.001645940014630698,0.001645940014630698,1.9839887155915106,1.7354245880861856,0.0,0.0,2009,MACD 12/26/9,541.9,547.4,541.9,70635728.0,2101.0,20.284031262246003,18.07853836178593
2009-09-01,2009-09-03,547.7,-0.012678167060921503,-0.012598137666606002,,1.0,0.0,0.0,-0.012598137666606002,-0.012598137666606002,1.958994152623496,1.713561470215463,-0.012598137666606002,-0.012598137666606002,2009,MACD 12/26/9,545.0,549.6,542.4,71880112.0,2102.0,20.892824234495833,18.641395536327913
2009-09-03,2009-09-04,540.8,-0.02300671941846198,-0.022744082840236657,,1.0,0.0,0.0,-0.022744082840236657,-0.022744082840236657,1.9144386273326879,1.6745880861850446,-0.03505568742012066,-0.03505568742012066,2009,MACD 12/26/9,541.0,548.4,539.5,67416480.0,2103.0,20.581276571905335,19.0293717434434
2009-09-04,2009-09-07,528.5,-0.007597377473940466,-0.007568590350047311,,1.0,0.0,0.0,-0.007568590350047311,-0.007568590350047311,1.8999490256120999,1.6619138149556403,-0.0423589556326458,-0.0423589556326458,2009,MACD 12/26/9,543.0,544.3,528.5,78337376.0,2104.0,19.121445479312683,19.047786490617256
2009-09-07,2009-09-08,524.5,0.025041315998412274,0.02535748331744503,,0.0,1.0,0.0005,-0.0005,0.02535748331744503,1.898999051099294,1.7040557667934093,-0.04283777615482942,-0.018075588826000022,2009,MACD 12/26/9,528.2,528.2,513.5,59664472.0,2105.0,17.440706640622636,18.72637052061833
2009-09-08,2009-09-09,537.8,-0.003166033001272144,-0.0031610264038675062,,0.0,0.0,0.0,-0.0,-0.0031610264038675062,1.898999051099294,1.6986692015209126,-0.04283777615482942,-0.021179477816323122,2009,MACD 12/26/9,530.0,538.6,529.8,47488672.0,2106.0,16.986102631499364,18.378316942794537
2009-09-09,2009-09-10,536.1,0.0076187305250233,0.007647826897966947,,0.0,0.0,0.0,0.0,0.007647826897966947,1.898999051099294,1.7116603295310522,-0.04283777615482942,-0.013693627898484717,2009,MACD 12/26/9,539.9,542.0,536.1,54590860.0,2107.0,16.300745044505447,17.96280256313672
2009-09-10,2009-09-11,540.2,0.014335845589500273,0.01443909663087739,,0.0,0.0,0.0,0.0,0.01443909663087739,1.898999051099294,1.7363751584283904,-0.04283777615482942,0.0,2009,MACD 12/26/9,535.5,541.9,535.4,52636860.0,2108.0,15.905086022849105,17.551259255079195
